,cat,dosen,id,mhs,name,prov,url
4032,Swasta,3,213208,111,"STAI Bahrul Ulum Tambakberas, Jombang",Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/Njc3RDAyNDMtN0UzNi00QkY1LUJCMzktNjk3RUU0ODgzMjFE
4033,Swasta,6,213209,530,Sekolah Tinggi Islam Blambangan Banyuwangi,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MzM5N0Y4RjctQjM2OS00NEYxLUE5NTItM0IzMkNBQkE5Qzk4
4034,Swasta,10,213210,138,"STAI Bustanul Ulum Krai, Lumajang",Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/Q0YyQTdBMzktOEZGMC00QzhCLUEzQUYtODkzMENEMzI5MzRF
4035,Swasta,11,213211,141,STAI Darul Hikmah Bangkalan,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QzNCNUEzQUUtMjQ0Ri00MzY3LThDM0ItRjVBQkI2NURDRTM3
4036,Swasta,2,213212,45,STAI Darul Kamal NW Kembang Kerang NTB,Prop. Nusa Tenggara Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QkY5NkUzMTItNDI1Ny00RUUzLThEMkMtNTIzMTIzRTQzQ0Mw
4037,Swasta,37,213213,1323,"STAI Darullughah Wadda'wah Bangil, Pasuruan",Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NzYxNjI4N0QtQjgzQS00RkNGLTgwNEYtQzA3NzJBM0VCOTQ5
4038,Swasta,0,213214,879,STAI Darussalam (STAIDA) Blokagung Tegalsari Banyuwangi,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NTBERTU1ODEtQTcyMy00MjAyLTkwQkItOEVFRUQxRTE5MUY1
4039,Swasta,9,213215,10,STAI Daruttaqwa Gresik,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RDZFOUJEMTQtREVBMy00Qzg2LTlENjQtNjQ3OEE2MzI4NzJE
4040,Swasta,26,213216,142,STAI Diponegoro Tulungagung,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NjBCM0VFNEYtQ0FFMy00RjBELUJFNkQtNTVEQjYzOTAwMDhD
4041,Swasta,3,213217,72,STAI Hasanuddin Pare Kediri,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MzFCQjc0QzMtOTJGRS00M0U2LUE5QzgtMERDQTI4QTZDRjM2
4042,Swasta,0,213218,1127,STAI Ibrahimy Genteng Banyuwangi,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QzQxMDE4NUItNkI3Ri00NTdDLUI1RUYtQTczQzc1M0EzQUQw
4043,Swasta,5,213219,148,STAI Ihyaul Ulum Gresik,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RkI5MDZGQTMtM0ZBRS00REIzLUFEMDUtODk2RjlGOUU3MzZB
4044,Swasta,20,213220,252,STAI Luqman Al-Hakim (STAIL) Surabaya,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MTUzQjM1ODAtNEM0Ri00RTMyLUFFMDktNzExQjMzN0Y0QjE4
4045,Swasta,14,213221,607,STAI Madiun Jawa Timur,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MDBFRjNDRDgtOEZCRC00NzlGLTg4NUUtMTM4QUYzMkI0QTZD
4046,Swasta,13,213222,173,STAI Ma`had Aly Al-Hikam Malang,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MDM1NTk4MzUtNjgyNS00MzA0LThBMDMtQjA1REVFMjU4QjUx
4047,Swasta,16,213223,193,"STAI Miftahul Ula Nglawak Kertosono, Nganjuk",Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RTQyREYwRjMtMzYxNi00QTNCLUEzMDgtNUQ5MEU3RTE3QTc1
4048,Swasta,10,213224,777,STAI Miftahul Ulum Pamekasan,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QTk4M0I5RTctNUI0Qi00NEYxLUI1OTAtNUU4QUQ1OEM4RTY4
4049,Swasta,28,213225,278,STAI Muhammadiyah (STAIM) Bima,Prop. Nusa Tenggara Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RjIwRjE1MkYtQzExNS00MUMxLUE4MzAtMzAyNDVBQTQ0NTZD
4050,Swasta,2,213226,224,"STAI Muhammadiyah Paciran, Lamongan",Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/M0Q2RTY0NDUtMzg3QS00NDRELUI1NzUtOEE5Rjk4MDc3QUJF
4051,Swasta,8,213227,134,STAI Muhammadiyah Probolinggo,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MjMyQTJEMTEtQzlBOS00NTA5LTlCMjEtMUVCNjc4NzMyM0I4
4052,Swasta,20,213228,507,STAI Muhammadiyah Tulungagung,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QzMxRkIyOUQtODdEQy00QTlELTlDRjItOUI4QUU0NjU5QTQ3
4053,Swasta,18,213229,662,STAI Nahdlatul Ulama (STAINU) Pacitan,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MjkxNDk2MTgtRTZGNC00M0RFLThFMUYtQ0FBQkQzN0Q4MjFF
4054,Swasta,7,213230,15,STAI Nahdlatul Wathan Samawa Sumbawa Besar NTB,Prop. Nusa Tenggara Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RTlFOTlDQUYtMzZEMC00N0M0LUEwNDgtMzlDM0IwRDhENjE0
4055,Swasta,7,213231,298,STAI Nazhatut Thullab Sampang Madura,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RTQzMDlBQjQtOEMwQy00NTQzLUJDRkItNzYxMjFDOUIyRDk0
4056,Swasta,21,213232,127,STAI Nurul Hakim Kediri Lombok Barat NTB,Prop. Nusa Tenggara Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MUZEMTYxNzEtNjBCMS00NEY3LUEzQjMtQTQxRTBEQjhDRTA2
4057,Swasta,12,213233,92,"STAI Pancawahana (STAIPANA) Bangil, Pasuruan",Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RkVFRThDRUEtNzJEQy00RDYyLUEwOTEtNjcxOEUzN0UyNDdC
4058,Swasta,35,213234,62,STAI Qomaruddin Gresik,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NkQwN0MwMzEtNTA4Qi00QThFLTk1MzktODU4MzFCNkI5NjEw
4059,Swasta,17,213235,213,STAI Raden Rahmat Kepanjen Malang,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/REVDN0Q1OTctQTM1OS00MjZBLTg2Q0YtOEI0NjFDRjRBMjI3
4060,Swasta,10,213236,357,STAI Salahuddin Pasuruan,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RDY1OUZENDYtNTQ4OC00REM5LTk2REUtMEVBNTIxQTcwOUM2
4061,Swasta,18,213237,510,STAI Sunan Drajat Lamongan,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MzU4MDZCOTktOTBDNC00NUQ4LUJBODctOTExQTM2NjY0NjA1
4062,Swasta,31,213238,878,STAI Sunan Giri Bojonegoro,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QjMwQjBCMDEtNUQ0Ny00QUI1LUFDMDktMzlENjI1NDIyODBB
4063,Swasta,14,213239,520,STAI Syaichona Moh. Cholil Bangkalan,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QkZBOTZCNDUtMDREMy00MEVELTkzNTctRDNEMDA0QUQ2MjEz
4064,Swasta,0,213240,983,STAI Syarifuddin (STAIS) Lumajang Jawa Timur,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NTFEOUM5MDItMzNFOC00M0Q0LTgyNTAtNTJBNzQ0OTREMjQ2
4065,Swasta,5,213241,267,STAI Taruna Surabaya,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/OEEwNDg5M0YtODczQS00N0U3LUE2RjctMzBGODA5QUI3NjVF
4066,Swasta,6,213242,4,STAI Taswirul Afkar Surabaya,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/OTI1RjcwMDYtQ0FBNS00QURDLUFEN0QtRjhEMDUxOTczODZF
4067,Swasta,7,213243,282,STAI YPBWI Surabaya,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/ODU3NkJBQkUtQjhGNC00NzY3LUEzQUMtQUQ1NDFGNjI5MUIy
4068,Swasta,45,213244,692,STAI Zainul Hasan Genggong Kraksan Probolinggo,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RkMxNzA5RDMtMDBEQy00QzZCLUFBMDAtNDNDOUJDREI0NTRG
4069,Swasta,17,213245,999,STID Al-Hadid Surabaya,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/OEEzNkQyMTItREEyNy00Mjk4LTk4NEEtNTU3OTc0MDE5RDFE
4070,Swasta,7,213246,325,STID Mustafa Ibrahim Al-Ishlahuddiny Kediri Lombok Barat NTB,Prop. Nusa Tenggara Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/REM2NDRCQTctMUFCQS00OUJGLTk1OTMtOTFGNEM0NjVDODE1
4071,Swasta,8,213247,173,STIS Al-Ittihad Bima Yayasan Pendidikan Al-Itihad Bima NTB,Prop. Nusa Tenggara Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RTcxMjMzMjktNDE1Ny00ODcyLUExRjgtRUM4NzgyNENBMTFD
4072,Swasta,2,213248,23,STIS Al-Wahidiyah Kediri Jawa Timur,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NTZENURCN0MtOTE2MS00NTQzLTk2NUUtQjk3Njk4RTgyQTlF
4073,Swasta,3,213249,4,STIS Sentra Bisnis Islami Surabaya,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NjI3MzVFODUtQzY1QS00RTk4LTkxODItOTBCRUM0OTdBOEE0
4074,Swasta,1,213250,123,STIT Al-Azhar Sidoarjo,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/Q0E2MkRDNDgtQzNFNC00MDI5LUE0QUQtODg3OUJERjZDNzI5
4075,Swasta,11,213251,616,STIT Al-Fatah Siman Lamongan,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QUYwQkRBMDQtMDQ2Ny00QTFDLTlDREYtRkQ2MDAyOUMxRTND
4076,Swasta,5,213252,66,STIT Al-Ishlah Bondowoso,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QkEyOTdGNkItQzM2QS00RjBFLTg1NTctODYzRTM0MkQ3OTIy
