Div,Kode,Lembaga,D_P,D_NP,D_TOTAL,D_CERT_Y,D_CERT_N,D_P_ED_D1,D_P_ED_D2,D_P_ED_D3,D_P_ED_D4,D_P_ED_S1,D_P_ED_S2,D_P_ED_S3,D_P_ED_NONFORM,D_P_ED_INF,D_P_ED_MISC,D_P_ED_SP1,D_P_ED_SP2,D_P_ED_PROF,D_P_ED_NA
N,1053,Universitas Samudra ,212,169,381,64,151,0,0,0,0,20,142,3,0,0,0,0,0,0,47
N,1054,Universitas Sulawesi Barat ,166,9,175,3,149,0,0,0,0,48,74,7,0,0,0,0,0,0,37
N,1055,Universitas Sembilanbelas November Kolaka ,94,16,110,8,86,0,0,0,0,19,39,5,0,0,0,0,0,0,31
N,1056,Universitas Tidar ,81,1,82,58,23,0,0,0,0,2,70,9,0,0,0,0,0,0,0
N,1057,Universitas Siliwangi ,293,0,293,169,124,0,0,0,0,8,241,33,0,0,0,0,0,0,11
N,1058,Universitas Teuku Umar ,120,4,124,19,101,0,0,0,0,29,59,1,0,0,0,0,0,0,31
N,1059,Universitas Pembangunan Nasional Veteran Jawa Timur ,341,20,361,137,204,0,0,0,0,9,263,67,0,0,0,0,0,0,2
N,1060,Universitas Timor ,72,0,72,38,34,0,0,0,0,14,57,1,0,0,0,0,0,0,0
N,1061,Universitas Pembangunan Nasional Veteran Jakarta ,246,22,268,95,152,0,0,0,0,15,198,24,0,0,0,9,0,0,0
N,1062,Universitas Pembangunan Nasional Veteran Yogyakarta ,474,31,505,322,152,0,0,0,0,16,360,91,0,0,0,0,0,0,7
N,1063,Universitas Singaperbangsa Karawang ,230,14,244,35,195,0,0,0,5,24,163,7,0,0,0,0,0,0,31
N,2001,Institut Teknologi Bandung ,1225,3,1228,815,411,0,0,0,0,25,386,793,0,0,0,0,0,0,21
N,2002,Institut Teknologi Sepuluh Nopember ,1023,8,1031,653,374,0,0,0,0,43,555,333,0,0,0,0,0,0,92
N,2003,Institut Pertanian Bogor ,1227,0,1227,900,324,0,0,0,0,31,351,807,0,0,0,0,0,2,36
N,2005,Institut Seni Indonesia Yogyakarta ,310,0,310,235,76,0,0,0,0,15,247,47,0,0,0,0,1,0,0
N,2007,Institut Seni Indonesia Denpasar ,221,0,221,175,46,0,0,0,2,15,181,23,0,0,0,0,0,0,0
N,2008,Institut Seni Indonesia Surakarta ,248,0,248,176,74,0,0,0,0,23,188,33,0,0,0,0,0,0,4
N,2009,Institut Seni Indonesia Padang Panjang ,220,0,220,177,43,0,0,0,0,19,180,17,0,0,0,0,0,0,4
N,2010,Institut Seni Budaya Indonesia Bandung ,172,0,172,138,32,0,0,0,0,6,141,21,0,0,0,1,0,0,3
N,2011,Institut Seni Budaya Indonesia Aceh ,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,2012,Institut Seni Budaya Indonesia Tanah Papua ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,2013,Institut Teknologi Kalimantan ,10,4,14,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,5
N,2014,Institut Teknologi Sumatera ,11,0,11,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,9
N,5001,Politeknik Manufaktur Bandung ,96,1,97,62,34,0,0,0,5,12,75,4,0,0,0,0,0,0,0
N,5002,Politeknik Negeri Jakarta ,328,2,330,240,89,0,0,0,0,39,267,18,0,0,0,1,1,0,2
N,5003,Politeknik Negeri Medan ,310,0,310,232,79,0,0,2,1,34,262,8,0,0,0,0,0,0,3
N,5004,Politeknik Negeri Bandung ,492,15,507,399,94,0,0,0,7,34,389,56,0,0,0,1,2,0,3
N,5005,Politeknik Negeri Semarang ,343,0,343,295,48,0,0,0,4,19,305,15,0,0,0,0,0,0,0
N,5006,Politeknik Negeri Sriwijaya ,368,0,368,313,58,0,0,0,0,21,337,10,0,0,0,0,0,0,0
N,5007,Politeknik Negeri Lampung ,147,33,180,121,26,0,0,0,0,7,132,2,0,0,0,0,0,0,6
N,5008,Politeknik Negeri Ambon ,245,1,246,168,78,0,0,0,3,48,191,2,0,0,0,0,1,0,0
N,5009,Politeknik Negeri Padang ,295,5,300,252,39,0,0,0,1,22,264,8,0,0,0,0,0,0,0
N,5010,Politeknik Negeri Bali ,353,70,423,298,60,0,0,1,3,21,304,21,0,0,0,0,0,0,3
N,5011,Politeknik Negeri Pontianak ,245,19,264,183,63,0,0,0,6,29,202,8,0,0,0,0,0,0,0
N,5012,Politeknik Negeri Ujung Pandang ,289,0,289,235,55,0,0,0,2,8,253,17,0,0,0,0,1,0,8
N,5013,Politeknik Negeri Manado ,312,1,313,232,74,0,0,0,7,37,257,10,0,0,0,1,0,0,0
N,5014,Politeknik Perkapalan Negeri Surabaya ,131,1,132,90,41,0,0,0,1,6,95,1,0,0,0,0,0,0,28
N,5015,Politeknik Negeri Banjarmasin ,189,0,189,135,54,0,0,2,0,33,144,3,0,0,2,0,0,0,5
